saison,ecurie,nom_historique,budget_plafonne_musd,budget_total_estime_musd,prize_money_musd,source_principale,fiabilite,notes
2014,Ferrari,Ferrari,,460,,RaceFans,FAIBLE,Estimation pré-cost cap
2014,Mercedes,Mercedes,,270,,RaceFans,FAIBLE,Début ère hybride - montée en puissance
2014,Red Bull,Red Bull,,280,,RaceFans,FAIBLE,Champion 2010-2013
2014,McLaren,McLaren,,200,,RaceFans,FAIBLE,Avant partenariat Honda
2014,Williams,Williams,,125,,RaceFans,FAIBLE,
2014,Alpine,Lotus F1,,145,,RaceFans,FAIBLE,Lotus en difficulté financière
2014,Aston Martin,Force India,,90,,RaceFans,FAIBLE,Racing point Force India
2014,Kick Sauber,Sauber,,95,,Estimation,FAIBLE,
2014,Racing Bulls,Toro Rosso,,115,,Estimation,FAIBLE,
2014,Marussia,Marussia,,80,,Presse,FAIBLE,Equipe disparue fin 2014
2014,Caterham,Caterham,,75,,Presse,FAIBLE,Equipe disparue fin 2014
2015,Ferrari,Ferrari,,430,,RaceFans,FAIBLE,
2015,Mercedes,Mercedes,,340,,RaceFans,FAIBLE,Domination débutée
2015,Red Bull,Red Bull,,270,,RaceFans,FAIBLE,
2015,McLaren,McLaren,,210,,RaceFans,FAIBLE,Début Honda - difficile
2015,Williams,Williams,,125,,RaceFans,FAIBLE,
2015,Alpine,Lotus F1,,130,,RaceFans,FAIBLE,Difficultés financières
2015,Aston Martin,Force India,,100,,RaceFans,FAIBLE,
2015,Kick Sauber,Sauber,,95,,Estimation,FAIBLE,
2015,Racing Bulls,Toro Rosso,,125,,Estimation,FAIBLE,
2015,Manor,Manor Marussia,,80,,Presse,FAIBLE,
2016,Mercedes,Mercedes,,350,,RaceFans,FAIBLE,
2016,Ferrari,Ferrari,,420,,RaceFans,FAIBLE,
2016,Red Bull,Red Bull,,280,,RaceFans,FAIBLE,
2016,McLaren,McLaren,,220,,RaceFans,FAIBLE,
2016,Williams,Williams,,130,,RaceFans,FAIBLE,
2016,Alpine,Renault,,150,,RaceFans,FAIBLE,Retour Renault comme constructeur
2016,Aston Martin,Force India,,110,,RaceFans,FAIBLE,
2016,Kick Sauber,Sauber,,85,,Estimation,FAIBLE,
2016,Racing Bulls,Toro Rosso,,140,,Estimation,FAIBLE,
2016,Haas,Haas,,100,,RaceFans,FAIBLE,Saison inaugurale
2016,Manor,Manor,,80,,Presse,FAIBLE,Equipe disparue fin 2016
2017,Mercedes,Mercedes,,370,,RaceFans,FAIBLE,
2017,Ferrari,Ferrari,,410,,RaceFans,FAIBLE,
2017,Red Bull,Red Bull,,310,,RaceFans,FAIBLE,
2017,McLaren,McLaren,,220,,RaceFans,FAIBLE,
2017,Williams,Williams,,135,,RaceFans,FAIBLE,
2017,Alpine,Renault,,190,,RaceFans,FAIBLE,
2017,Aston Martin,Force India,,125,,RaceFans,FAIBLE,
2017,Kick Sauber,Sauber,,100,,Estimation,FAIBLE,
2017,Racing Bulls,Toro Rosso,,150,,Estimation,FAIBLE,
2017,Haas,Haas,,120,,RaceFans,FAIBLE,
2018,Mercedes,Mercedes,,400,,RaceFans,MOYENNE,Article RaceFans détaillé 2018
2018,Ferrari,Ferrari,,410,,RaceFans,MOYENNE,Article RaceFans détaillé 2018
2018,Red Bull,Red Bull,,330,,RaceFans,MOYENNE,Article RaceFans détaillé 2018
2018,McLaren,McLaren,,220,,RaceFans,MOYENNE,Article RaceFans détaillé 2018
2018,Williams,Williams,,135,,RaceFans,MOYENNE,Article RaceFans détaillé 2018
2018,Alpine,Renault,,195,,RaceFans,MOYENNE,Article RaceFans détaillé 2018
2018,Aston Martin,Force India,,120,,RaceFans,MOYENNE,Article RaceFans détaillé 2018
2018,Kick Sauber,Sauber,,135,,RaceFans,MOYENNE,
2018,Racing Bulls,Toro Rosso,,180,,RaceFans,MOYENNE,
2018,Haas,Haas,,130,,RaceFans,MOYENNE,
2019,Mercedes,Mercedes,,484,,RaceFans,HAUTE,Chiffre publié RaceFans
2019,Ferrari,Ferrari,,463,,RaceFans,HAUTE,Chiffre publié RaceFans
2019,Red Bull,Red Bull,,445,,RaceFans,HAUTE,Chiffre publié RaceFans
2019,McLaren,McLaren,,220,,RaceFans,MOYENNE,
2019,Williams,Williams,,132,,RaceFans,MOYENNE,
2019,Alpine,Renault,,272,,RaceFans,HAUTE,Plus gros budget midfield
2019,Aston Martin,Racing Point,,145,,RaceFans,MOYENNE,Force India racheté devient Racing Point
